scope,store_id,term,coefficient,p_value,ci_lower,ci_upper,r_squared,n_obs,fit_quality
Store 26,26,holiday_flag,76327.530658,0.081946,-9673.586463,162328.647778,0.089070,143,low
Store 27,27,fuel_price,-96731.751734,0.405867,-324827.495517,131363.992049,0.068912,143,low
Store 27,27,cpi,-4862.489136,0.851200,-55667.192404,45942.214131,0.068912,143,low
Store 27,27,unemployment,-43121.098264,0.819175,-412821.594537,326579.398009,0.068912,143,low
Store 27,27,holiday_flag,114168.011205,0.386713,-144342.429833,372678.452243,0.068912,143,low
Store 28,28,fuel_price,-155117.526993,0.086305,-332368.757855,22133.703869,0.093332,143,low
Store 28,28,cpi,52821.724851,0.096222,-9415.455787,115058.905489,0.093332,143,low
Store 28,28,unemployment,48616.349289,0.046369,782.421712,96450.276866,0.093332,143,low
Store 28,28,holiday_flag,140697.331207,0.149597,-50676.755015,332071.417428,0.093332,143,low
Store 29,29,fuel_price,-21359.420203,0.333828,-64677.234946,21958.394541,0.043962,143,low
Store 29,29,cpi,4742.612315,0.439370,-7278.405288,16763.629917,0.043962,143,low
Store 29,29,unemployment,21394.804344,0.549326,-48637.072418,91426.681105,0.043962,143,low
Store 29,29,holiday_flag,69785.202490,0.256408,-50731.116981,190301.521960,0.043962,143,low
Store 30,30,fuel_price,-17320.256185,0.058102,-35234.934440,594.422070,0.216464,143,moderate
Store 30,30,cpi,-3818.295892,0.183776,-9448.467724,1811.875939,0.216464,143,moderate
Store 30,30,unemployment,-25915.221773,0.106073,-57344.531093,5514.087547,0.216464,143,moderate
Store 30,30,holiday_flag,-3714.717560,0.769611,-28573.415661,21143.980541,0.216464,143,moderate
Store 31,31,fuel_price,-57837.173896,0.338437,-176257.409174,60583.061382,0.131246,143,low
Store 31,31,cpi,38239.813208,0.063350,-2126.121496,78605.747911,0.131246,143,low
Store 31,31,unemployment,219436.412296,0.046920,2987.982911,435884.841681,0.131246,143,low
Store 31,31,holiday_flag,101314.002820,0.199464,-53447.647508,256075.653148,0.131246,143,low
Store 32,32,fuel_price,-3068.333020,0.932414,-73979.514797,67842.848757,0.111963,143,low
Store 32,32,cpi,42117.901710,0.014837,8235.229229,76000.574190,0.111963,143,low
Store 32,32,unemployment,262486.858964,0.025521,32139.053241,492834.664686,0.111963,143,low
Store 32,32,holiday_flag,14034.179907,0.863219,-145629.370968,173697.730783,0.111963,143,low
Store 33,33,fuel_price,-9683.236603,0.353956,-30157.822866,10791.349660,0.042330,143,low
Store 33,33,cpi,10432.620433,0.052769,-124.733239,20989.974105,0.042330,143,low
Store 33,33,unemployment,18069.049278,0.022690,2526.836543,33611.262014,0.042330,143,low
Store 33,33,holiday_flag,1732.923432,0.861471,-17730.908386,21196.755250,0.042330,143,low
Store 34,34,fuel_price,-127806.047513,0.091151,-276084.280155,20472.185129,0.097892,143,low
Store 34,34,cpi,33612.431574,0.056392,-915.533610,68140.396759,0.097892,143,low
Store 34,34,unemployment,42115.147054,0.139076,-13686.621555,97916.915663,0.097892,143,low
